datetime,Vancouver,Portland,San Francisco,Seattle,Year,ds
2013-07-14,6952.71,6960.55,6994.21,6923.46,2013,2013-07-14 00:00:00
2013-07-15,6993.401499999999,7027.222000000001,6966.072000000001,7001.677,2013,2013-07-15 00:00:00
2013-07-16,6423.17,6445.880000000001,6371.554999999999,6421.675000000001,2013,2013-07-16 00:00:00
2013-07-17,6766.900000000001,6790.994999999999,6643.76,6780.21,2013,2013-07-17 00:00:00
2013-07-18,6780.12,6726.289999999999,6682.1900000000005,6736.62,2013,2013-07-18 01:00:00
2013-07-19,7021.797999999999,6978.79,6982.108,6979.262999999999,2013,2013-07-19 00:00:00
2013-07-20,7022.699999999998,7001.49,6993.659999999998,6998.360000000001,2013,2013-07-20 00:00:00
2013-07-21,7014.768499999999,6987.26,6990.259999999999,6971.7835,2013,2013-07-21 00:00:00
2013-07-22,6996.77,6988.7,6996.749999999998,6965.959999999998,2013,2013-07-22 00:00:00
2013-07-23,7004.924333333001,7000.094333333001,7006.067666667,6981.367666666999,2013,2013-07-23 00:00:00
2013-07-24,7018.807000000001,7042.3785,7029.7805,7023.839999999999,2013,2013-07-24 00:00:00
2013-07-25,7044.369999999999,7087.720000000001,7051.2300000000005,7062.410000000001,2013,2013-07-25 00:00:00
2013-07-26,7030.797999999998,7078.2455,7055.155000000002,7041.46,2013,2013-07-26 00:00:00
2013-07-27,7028.91,7072.960000000001,7014.78,7049.7,2013,2013-07-27 00:00:00
2013-07-28,7008.9,7000.94,6989.420000000002,6992.849999999999,2013,2013-07-28 00:00:00
2013-07-29,6997.331000000001,6945.941,6963.361,6949.505000000001,2013,2013-07-29 00:00:00
2013-07-30,6419.274999999999,6366.315,6359.77,6361.864999999999,2013,2013-07-30 00:00:00
2013-07-31,7018.54,6971.26,6958.160000000001,6978.34,2013,2013-07-31 00:00:00
2013-08-01,7015.789999999999,6978.013,6959.090000000001,6958.6100000000015,2013,2013-08-01 00:00:00
2013-08-02,7010.474999999999,6936.108,6965.529999999999,6950.985999999999,2013,2013-08-02 00:00:00
2013-08-03,6949.970500000001,6928.3895,6975.365500000002,6927.085000000001,2013,2013-08-03 00:00:00
2013-08-04,6958.200000000001,6978.72,6963.57,6949.710000000001,2013,2013-08-04 00:00:00
